artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
BTS,single,Dynamite,2020-09-18,2020,64,199053,False,1,1,5,10.666666666666666
BTS,album,I'm Fine,2018-08-24,2018,64,240339,False,1,14,7,8.0
TXT,album,Chasing That Feeling,2023-10-13,2023,64,182670,False,1,2,2,21.33333333333333
Blackpink,single,JUMP,2025-07-11,2025,64,164718,False,1,1,0,64.0
BTS,album,Answer : Love Myself,2018-08-24,2018,64,251279,False,1,16,7,8.0
BTS,album,Lie,2016-10-10,2016,64,215752,False,1,4,9,6.4
aespa,single,Dirty Work (feat. Flo Milli),2025-06-27,2025,63,180127,False,1,2,0,63.0
TXT,album,9 and Three Quarters (Run Away),2019-10-21,2019,63,211866,False,1,2,6,9.0
BTS,album,For Youth,2022-06-10,2022,63,264480,False,3,1,3,15.75
aespa,single,Dopamine - GISELLE Solo,2024-10-09,2024,63,194093,False,1,2,1,31.5
BTS,single,Make It Right (feat. Lauv),2019-10-18,2019,63,226321,False,1,1,6,9.0
Blackpink,single,Sour Candy (with BLACKPINK),2020-05-28,2020,63,157706,False,1,1,5,10.5
BTS,album,Paradise,2018-05-18,2018,63,211223,False,1,5,7,7.875
BTS,single,Film out,2021-04-01,2021,63,214620,False,1,1,4,12.6
TXT,single,Devil by the Window,2023-01-27,2023,62,186471,False,1,1,2,20.666666666666668
TXT,single,Back for More (with Anitta),2023-09-15,2023,62,131037,False,1,1,2,20.666666666666668
BTS,album,134340,2018-05-18,2018,62,230063,False,1,4,7,7.75
TXT,single,Opening Sequence,2022-05-09,2022,62,177976,False,1,1,3,15.5
aespa,single,Bored! - NINGNING Solo,2024-10-09,2024,62,171160,False,1,3,1,31.0
BTS,album,BTS Cypher 4,2016-10-10,2016,62,294463,False,1,11,9,6.2
aespa,single,Spark - WINTER Solo,2024-10-09,2024,62,201200,False,1,4,1,31.0
aespa,single,Thirsty,2023-05-08,2023,62,193413,False,1,4,2,20.666666666666668
BTS,single,Black Swan,2020-01-17,2020,62,198260,False,1,1,5,10.333333333333334
BTS,album,21st Century Girl,2016-10-10,2016,62,192596,False,1,13,9,6.2
BTS,single,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",2023-05-17,2023,61,175802,False,1,2,2,20.33333333333333
BTS,album,Your eyes tell,2020-07-14,2020,61,245146,False,1,12,5,10.166666666666666
BTS,album,Stigma,2016-10-10,2016,61,216063,False,1,5,9,6.1
BTS,single,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)",2023-06-15,2023,61,176454,False,1,1,2,20.33333333333333
aespa,single,Black Mamba,2020-11-17,2020,61,174933,False,1,1,5,10.166666666666666
BTS,single,The Planet,2023-05-12,2023,61,178156,False,1,1,2,20.33333333333333
Blackpink,album,Hard to Love,2022-09-16,2022,61,162569,False,1,5,3,15.25
BTS,album,Dimple,2018-08-24,2018,61,196776,False,1,5,7,7.625
TXT,single,CROWN,2019-03-04,2019,61,230706,False,1,2,6,8.714285714285714
TXT,album,The Killa (I Belong to You),2024-04-01,2024,61,162642,False,1,5,1,30.5
TXT,album,Anti-Romantic,2021-05-31,2021,61,215188,False,1,1,4,12.2
BTS,single,All Night (BTS World Original Soundtrack) (Pt. 3),2019-06-21,2019,60,216873,False,1,1,6,8.571428571428571
TXT,album,Miracle,2024-04-01,2024,60,163886,False,1,4,1,30.0
TXT,album,Heaven,2024-11-08,2024,60,154988,False,1,1,1,30.0
aespa,single,Lucid Dream,2021-10-05,2021,60,210560,False,1,6,4,12.0
BTS,album,Born Singer,2022-06-10,2022,60,238628,False,1,1,3,15.0
aespa,single,Better Things,2023-08-18,2023,60,203216,False,1,1,2,20.0
BTS,album,Stay Gold,2020-07-14,2020,60,243266,False,1,2,5,10.0
BTS,album,Let Go,2018-04-04,2018,60,299706,False,1,11,7,7.5
BTS,album,Trivia 起 : Just Dance,2018-08-24,2018,60,225220,False,1,2,7,7.5
BTS,album,Intro: Singularity,2018-05-18,2018,60,196998,False,1,1,7,7.5
Blackpink,album,Love To Hate Me,2020-10-02,2020,60,169797,False,1,7,5,10.0
