artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
BTS,album,Save Me,2016-05-02,2016,31,196505,False,1,11,9,3.1
BTS,album,친구,2020-02-21,2020,31,199338,False,1,15,5,5.166666666666667
BTS,album,Dionysus,2019-04-12,2019,31,249215,False,1,7,6,4.428571428571429
BTS,album,We are Bulletproof : the Eternal,2020-02-21,2020,31,261542,False,1,18,5,5.166666666666667
BTS,album,상남자 (Boy in Luv),2014-02-12,2014,30,230778,False,1,2,11,2.5
aespa,single,ZOOM ZOOM,2023-10-06,2023,30,192733,False,1,1,2,10.0
aespa,single,Sun and Moon,2024-07-03,2024,30,199635,False,1,2,1,15.0
BTS,album,Not Today,2017-02-13,2017,30,231859,False,1,16,8,3.333333333333333
BTS,album,Interlude : Shadow,2020-02-21,2020,29,259821,False,1,6,5,4.833333333333333
aespa,album,Life's Too Short,2022-07-08,2022,29,178133,False,1,4,3,7.25
BTS,album,Butterfly,2015-11-30,2015,29,238861,False,1,3,10,2.636363636363636
aespa,album,ICU (쉬어가도 돼),2022-07-08,2022,29,221640,False,1,5,3,7.25
BTS,album,Run,2015-11-30,2015,28,236748,False,1,2,10,2.5454545454545454
BTS,album,호르몬 전쟁,2014-08-20,2014,27,265602,False,1,3,11,2.25
BTS,album,욱 (UGH!),2020-02-21,2020,27,225012,False,1,12,5,4.5
BTS,album,고엽,2015-11-30,2015,26,267150,False,1,8,10,2.363636363636364
BTS,album,Outro: Wings,2017-02-13,2017,26,225446,False,1,17,8,2.888888888888889
BTS,album,Epilogue: Young Forever,2016-05-02,2016,26,171803,False,1,12,9,2.6
TXT,single,Step by Step,2025-05-26,2025,25,204623,False,1,1,0,25.0
BTS,album,뱁새,2015-11-30,2015,25,233160,False,1,6,10,2.272727272727273
BTS,album,하루만,2014-02-12,2014,25,239469,False,1,5,11,2.083333333333333
BTS,album,Blue & Grey,2020-11-20,2020,24,254950,False,1,3,5,4.0
BTS,album,Louder than bombs,2020-02-21,2020,24,217404,False,1,10,5,4.0
BTS,album,잡아줘 (Hold Me Tight),2015-04-29,2015,24,274991,False,1,3,10,2.1818181818181817
BTS,album,Whalien 52,2015-11-30,2015,24,243222,False,1,4,10,2.1818181818181817
aespa,album,Lingo,2022-07-08,2022,24,156866,False,1,3,3,6.0
BTS,album,잠시,2020-11-20,2020,23,202313,False,1,5,5,3.8333333333333335
BTS,album,병,2020-11-20,2020,23,239722,False,1,6,5,3.8333333333333335
BTS,album,Coffee,2013-09-11,2013,23,260433,False,1,6,12,1.7692307692307692
BTS,album,진격의 방탄,2013-09-11,2013,22,246525,False,1,8,12,1.6923076923076923
TXT,single,Rise,2025-04-07,2025,21,205452,False,1,1,0,21.0
BTS,album,흥탄소년단,2015-04-29,2015,21,244156,False,1,6,10,1.9090909090909087
BTS,album,내 방을 여행하는 법,2020-11-20,2020,21,222242,False,1,2,5,3.5
BTS,album,이불킥,2014-08-20,2014,20,241761,False,1,10,11,1.6666666666666667
BTS,album,이사,2015-04-29,2015,20,292569,False,1,8,10,1.818181818181818
TXT,album,Hydrangea Love,2023-07-05,2023,20,232736,False,1,2,2,6.666666666666667
BTS,album,Respect,2020-02-21,2020,20,237540,False,1,17,5,3.333333333333333
TXT,single,Kitto Zutto,2024-07-03,2024,20,171359,False,1,3,1,10.0
BTS,album,Ma City,2015-11-30,2015,19,256686,False,1,5,10,1.7272727272727273
TXT,album,Hitori no Yoru,2023-07-05,2023,18,218859,False,1,9,2,6.0
BTS,album,Rain,2014-08-20,2014,18,264666,False,1,6,11,1.5
BTS,album,여기 봐,2014-08-20,2014,18,218887,False,1,12,11,1.5
BTS,album,Outro: House of Cards,2015-11-30,2015,18,177413,False,1,9,10,1.6363636363636365
TXT,album,Ring,2023-07-05,2023,17,204111,False,1,6,2,5.666666666666667
BTS,album,BTS Cypher Pt.3: Killer,2014-08-20,2014,17,267782,False,1,7,11,1.4166666666666667
BTS,album,Outro: 그게 말이 돼?,2014-08-20,2014,17,172658,False,1,14,11,1.4166666666666667
BTS,album,24/7=Heaven,2014-08-20,2014,16,226425,False,1,11,11,1.3333333333333333
BTS,album,Outro: Love Is Not Over,2015-04-29,2015,16,143862,False,1,9,10,1.4545454545454546
BTS,album,Intro: 화양연화,2015-04-29,2015,16,123033,False,1,1,10,1.4545454545454546
BTS,album,팔도강산,2013-09-11,2013,16,205061,False,1,9,12,1.2307692307692308
BTS,album,ON (Feat. Sia),2020-02-21,2020,16,246816,False,1,20,5,2.6666666666666665
BTS,album,2학년,2014-08-20,2014,16,235020,False,1,13,11,1.3333333333333333
BTS,album,어디에서 왔는지,2014-02-12,2014,15,240106,False,1,4,11,1.25
BTS,album,둘! 셋! (그래도 좋은 날이 더 많기를),2017-02-13,2017,15,272537,False,1,14,8,1.6666666666666667
BTS,album,등골브레이커,2014-02-12,2014,14,238529,False,1,8,11,1.1666666666666667
BTS,album,We Are Bulletproof Pt.2,2013-06-12,2013,14,223933,False,1,2,12,1.0769230769230769
BTS,album,작은 것들을 위한 시 (Boy With Luv) [feat. Halsey],2020-02-21,2020,14,229773,False,1,2,5,2.333333333333333
BTS,album,Let Me Know,2014-08-20,2014,14,254973,False,1,5,11,1.1666666666666667
BTS,album,피 땀 눈물,2017-02-13,2017,13,217051,False,1,2,8,1.4444444444444444
BTS,album,핸드폰 좀 꺼줄래,2014-08-20,2014,12,234062,False,1,9,11,1.0
BTS,album,Outro: Luv in Skool,2013-09-11,2013,12,86044,False,1,10,12,0.9230769230769232
BTS,album,If I Ruled the World,2013-09-11,2013,11,247450,False,1,5,12,0.8461538461538461
BTS,album,Skit: Expectation!,2015-04-29,2015,11,147693,False,1,4,10,1.0
BTS,album,힙합성애자,2014-08-20,2014,11,257299,False,1,4,11,0.9166666666666666
BTS,album,We On,2013-09-11,2013,11,230885,False,1,3,12,0.8461538461538461
BTS,album,Interlude: 뭐해,2014-08-20,2014,10,41757,False,1,8,11,0.8333333333333334
BTS,album,Intro: What Am I to You,2014-08-20,2014,9,165121,False,1,1,11,0.75
BTS,album,BTS Cypher Pt.1,2013-09-11,2013,9,131192,False,1,7,12,0.6923076923076923
BTS,album,21세기 소녀,2017-02-13,2017,9,192596,False,1,13,8,1.0
TXT,album,Intro : FLOATING,2023-07-05,2023,8,111935,False,1,1,2,2.6666666666666665
BTS,album,Interlude,2013-06-12,2013,8,52440,False,1,5,12,0.6153846153846154
BTS,album,"Intro: O!RUL8,2?",2013-09-11,2013,7,70531,False,1,1,12,0.5384615384615384
BTS,album,Skit: One Night in a Strange City,2015-11-30,2015,7,263129,False,1,7,10,0.6363636363636364
TXT,album,Outro : FALLING,2023-07-05,2023,7,129362,False,1,12,2,2.333333333333333
BTS,album,Intro: 2 Cool 4 Skool,2013-06-12,2013,6,63786,False,1,1,12,0.4615384615384615
BTS,album,Skit,2020-11-20,2020,6,179547,False,1,4,5,1.0
TXT,album,- --- -- --- .-. .-. --- .--,2024-04-01,2024,5,7402,False,1,2,1,2.5
BTS,album,Skit: Circle Room Talk,2013-06-12,2013,4,131906,False,1,3,12,0.3076923076923077
BTS,album,Skit: R U Happy Now?,2013-09-11,2013,4,148072,False,1,4,12,0.3076923076923077
BTS,album,Outro: Circle Room Cypher,2013-06-12,2013,4,323640,False,1,7,12,0.3076923076923077
